FileName,ReceiverID,Array,deploy_time,retrieve_time,RefTagID,Type,Status,DeploymentDate,DeploymentTime,Depth,Latitude,Longitude,DeploymentCrew,DeploymentNotes,RetrievalDate,RetrievalTime,RetrievalNotes,rkm
Marine_040,040,Marine,2026-06-05T07:15:00Z,NA,0549,3001,Deployed,2026-06-04,23:15:00,6.3,60.526833,-151.283626,"Tony,Talise,Brian,Andy,Dan","ziptie, single",NA,NA,NA,-2.4
Marine_044,044,Marine,2026-06-05T08:19:59Z,NA,04AB,3001,Deployed,2026-06-05,00:19:59,6,60.549995,-151.303818,"Tony,Talise,Brian,Andy,Dan","twine, single",NA,NA,NA,-2.4
Marine_047,047,Marine,2026-06-10T13:00:00Z,NA,0155,3001,Deployed,2026-06-10,05:00:00,6,60.537354,-151.30653,"Dan,Tony,Andy,Psy","longline, no time taken for other 06/10/2026 deployments",NA,NA,NA,-2.4
Marine_048,048,Marine,2026-06-05T07:44:00Z,NA,0575,3001,Deployed,2026-06-04,23:44:00,6.8,60.53047,-151.298435,"Tony,Talise,Brian,Andy,Dan","ziptie, single",NA,NA,NA,-2.4
Marine_052,052,Marine,2026-06-09T11:02:00Z,NA,092D,3001,Deployed,2026-06-09,03:02:00,6,60.541664,-151.308578,"Tony,Talise,Brian,Andy,Dan",longline,NA,NA,NA,-2.4
Marine_054,054,Marine,2026-06-10T12:15:00Z,NA,054,3001,Deployed,2026-06-10,04:15:00,5.8,60.534752,-151.305243,"Dan,Tony,Andy,Psy",longline,NA,NA,NA,-2.4
Marine_058,058,Marine,2026-06-09T11:32:00Z,NA,09AB,3001,Deployed,2026-06-09,03:32:00,6.3,60.533511,-151.302927,"Tony,Talise,Brian,Andy,Dan",longline,NA,NA,NA,-2.4
Marine_060,060,Marine,2026-06-10T13:00:00Z,NA,0545,3001,Deployed,2026-06-10,05:00:00,6,60.538861,-151.30813,"Dan,Tony,Andy,Psy","longline, no time taken for other 06/10/2026 deployments",NA,NA,NA,-2.4
Marine_066,066,Marine,2026-06-05T07:31:00Z,NA,02D5,3001,Deployed,2026-06-04,23:31:00,7.2,60.528419,-151.292508,"Tony,Talise,Brian,Andy,Dan","ziptie, single",NA,NA,NA,-2.4
Marine_067,067,Marine,2026-06-05T07:47:00Z,NA,0575,3001,Deployed,2026-06-04,23:47:00,6.8,60.531091,-151.299772,"Tony,Talise,Brian,Andy,Dan","ziptie, single",NA,NA,NA,-2.4
Marine_068,068,Marine,2026-06-05T08:06:00Z,2026-06-09T10:20:00Z,06AD,3001,Retrieved,2026-06-05,00:06:00,6.4,60.540609,-151.308448,"Tony,Talise,Brian,Andy,Dan","ziptie, single",2026-06-09,02:20:00,Moved to new location without sd swap. Edit raw file later,-2.4
Marine_068,068,Marine,2026-06-09T10:44:00Z,NA,06AD,3001,Deployed,2026-06-09,02:44:00,5.9,60.544984,-151.307797,"Tony,Talise,Brian,Andy,Dan","ziptie, single",NA,NA,NA,-2.4
Marine_070,070,Marine,2026-06-05T08:16:00Z,NA,096D,3001,Deployed,2026-06-05,00:16:00,6.3,60.549226,-151.304691,"Tony,Talise,Brian,Andy,Dan","twine broke off, single",NA,NA,NA,-2.4
Marine_071,071,Marine,2026-06-05T07:37:00Z,NA,06A5,3001,Deployed,2026-06-04,23:37:00,6.8,60.529335,-151.295509,"Tony,Talise,Brian,Andy,Dan","ziptie, single",NA,NA,NA,-2.4
Marine_072,072,Marine,2026-06-05T08:42:00Z,NA,0959,3001,Deployed,2026-06-05,00:42:00,6.4,60.55492,-151.295805,"Tony,Talise,Brian,Andy,Dan","twine, single",NA,NA,NA,-2.4
Marine_076,076,Marine,2026-06-05T08:23:00Z,NA,08A9,3001,Deployed,2026-06-05,00:23:00,6.2,60.550803,-151.30279,"Tony,Talise,Brian,Andy,Dan","twine, single",NA,NA,NA,-2.4
Marine_077,077,Marine,2026-06-05T08:37:00Z,NA,04A9,3001,Deployed,2026-06-05,00:37:00,5.5,60.553582,-151.298423,"Tony,Talise,Brian,Andy,Dan","twine, single",NA,NA,NA,-2.4
